filename	original_chars	cleaned_chars	removed_chars
a-midsummer-nights-dream_TXT_FolgerShakespeare.txt	100554	96924	3630
alls-well-that-ends-well_TXT_FolgerShakespeare.txt	138456	133598	4858
antony-and-cleopatra_TXT_FolgerShakespeare.txt	156343	150196	6147
as-you-like-it_TXT_FolgerShakespeare.txt	131862	127372	4490
coriolanus_TXT_FolgerShakespeare.txt	171215	165112	6103
cymbeline_TXT_FolgerShakespeare.txt	169072	163437	5635
hamlet_TXT_FolgerShakespeare.txt	182866	176537	6329
henry-iv-part-1_TXT_FolgerShakespeare.txt	145915	141099	4816
henry-iv-part-2_TXT_FolgerShakespeare.txt	159858	154617	5241
henry-v_TXT_FolgerShakespeare.txt	157462	152480	4982
henry-vi-part-1_TXT_FolgerShakespeare.txt	136156	131326	4830
henry-vi-part-2_TXT_FolgerShakespeare.txt	158182	152801	5381
henry-vi-part-3_TXT_FolgerShakespeare.txt	152246	146878	5368
henry-viii_TXT_FolgerShakespeare.txt	149163	144176	4987
julius-caesar_TXT_FolgerShakespeare.txt	119985	115395	4590
king-john_TXT_FolgerShakespeare.txt	125575	121299	4276
king-lear_TXT_FolgerShakespeare.txt	159461	153643	5818
loves-labors-lost_TXT_FolgerShakespeare.txt	132828	127842	4986
lucrece_TXT_FolgerShakespeare.txt	87921	85732	2189
macbeth_TXT_FolgerShakespeare.txt	106538	102466	4072
measure-for-measure_TXT_FolgerShakespeare.txt	132764	128012	4752
much-ado-about-nothing_TXT_FolgerShakespeare.txt	127784	123280	4504
othello_TXT_FolgerShakespeare.txt	159411	153428	5983
pericles_TXT_FolgerShakespeare.txt	113339	109233	4106
richard-ii_TXT_FolgerShakespeare.txt	135081	130567	4514
richard-iii_TXT_FolgerShakespeare.txt	181588	175043	6545
romeo-and-juliet_TXT_FolgerShakespeare.txt	146706	141426	5280
shakespeares-sonnets_TXT_FolgerShakespeare.txt	99272	96596	2676
the-comedy-of-errors_TXT_FolgerShakespeare.txt	93250	89771	3479
the-merchant-of-venice_TXT_FolgerShakespeare.txt	125304	120968	4336
the-merry-wives-of-windsor_TXT_FolgerShakespeare.txt	136592	131857	4735
the-phoenix-and-turtle_TXT_FolgerShakespeare.txt	2466	2364	102
the-taming-of-the-shrew_TXT_FolgerShakespeare.txt	130330	125468	4862
the-tempest_TXT_FolgerShakespeare.txt	103322	99597	3725
the-two-gentlemen-of-verona_TXT_FolgerShakespeare.txt	105727	101564	4163
the-two-noble-kinsmen_TXT_FolgerShakespeare.txt	147304	142086	5218
the-winters-tale_TXT_FolgerShakespeare.txt	149062	144119	4943
timon-of-athens_TXT_FolgerShakespeare.txt	115166	110901	4265
titus-andronicus_TXT_FolgerShakespeare.txt	124759	120457	4302
troilus-and-cressida_TXT_FolgerShakespeare.txt	166133	160228	5905
twelfth-night_TXT_FolgerShakespeare.txt	119215	114878	4337
venus-and-adonis_TXT_FolgerShakespeare.txt	56790	55355	1435
TOTAL	5513023	5320128	192895
