step,train_loss,validation_loss
0,6.42957,4.418
1,6.26268,4.16994
2,6.14248,3.89134
3,6.04905,3.71454
4,6.02253,3.61651
5,5.96302,3.55817
6,5.9283,3.51823
7,5.86182,3.48874
8,5.84093,3.46771
9,5.88795,3.44371
10,5.78577,3.42472
11,5.83532,3.40233
12,5.82722,3.39328
13,5.86462,3.38311
14,5.80839,3.37936
15,5.8345,3.37362
16,5.80307,3.3686
17,5.8223,3.36624
18,5.79271,3.35928
19,5.8056,3.35827
20,5.79503,3.36299
21,5.77012,3.3644
22,5.74034,3.35959
23,5.76081,3.35478
24,5.81297,3.35894
25,5.82863,3.36217
26,5.79006,3.3552
27,5.81978,3.35476
28,5.7999,3.35832
29,5.80726,3.35537
30,5.79151,3.35641
31,5.77237,3.35698
32,5.79866,3.36864
33,5.77141,3.37381
34,5.78449,
35,5.73014,
36,5.77524,
37,5.78562,
38,5.79582,
39,5.75775,
40,5.77106,
41,5.71151,
42,5.79801,
43,5.88354,
44,5.87669,
45,5.85771,
46,5.85486,
47,5.80944,
48,5.79141,
49,5.86587,
50,5.82626,
51,5.84404,
52,5.79964,
53,5.81148,
54,5.78267,
55,5.77176,
56,5.83797,
57,5.86502,
58,5.8401,
59,5.8483,
60,5.81245,
61,5.79306,
62,5.78596,
63,5.80784,
64,5.8145,
65,5.77454,
66,5.79153,
67,5.73256,
68,5.83318,
69,5.85197,
70,5.73691,
71,5.73944,
72,5.81253,
73,5.7455,
74,5.75712,
75,5.81634,
76,5.7928,
77,5.79684,
78,5.75383,
79,5.75815,
80,5.79466,
81,5.75564,
82,5.72119,
83,5.76737,
84,5.67964,
85,5.71337,
86,5.69281,
87,5.65417,
88,5.60675,
89,5.55212,
90,5.59608,
91,5.54896,
92,5.59455,
93,5.61761,
94,5.53865,
95,5.53532,
96,5.43701,
97,5.51914,
98,5.43816,
99,5.39394,
100,5.3683,
101,5.33651,
102,5.27314,
103,5.21824,
104,5.22888,
105,5.18011,
106,5.23195,
107,5.23071,
108,5.20109,
109,5.07755,
110,5.0888,
111,5.05336,
112,5.31936,
113,5.2629,
114,5.17881,
115,5.10272,
116,5.15117,
