step,train_loss,validation_loss
0,6.40083,4.09482
1,6.23811,3.73314
2,6.12201,3.61333
3,6.1049,3.54253
4,5.98383,3.50266
5,6.00266,3.47736
6,5.92725,3.46545
7,5.90726,3.45859
8,5.88106,3.44218
9,5.84733,3.43161
10,5.85444,3.42557
11,5.8385,3.41578
12,5.84516,3.40985
13,5.75924,3.40297
14,5.73606,3.40141
15,5.76016,3.39661
16,5.7606,3.39391
17,5.79186,3.39208
18,5.89052,3.38935
19,5.8165,3.3883
20,5.71685,3.38201
21,5.76098,3.37623
22,5.8154,3.37028
23,5.80666,3.36719
24,5.84117,3.36431
25,5.7837,3.35923
26,5.87575,3.35762
27,5.85377,3.35188
28,5.80422,3.35284
29,5.79161,3.34894
30,5.79944,3.35043
31,5.81808,3.3446
32,5.76946,3.34478
33,5.80776,3.34337
34,5.80399,3.34313
35,5.79953,3.34171
36,5.81553,3.34167
37,5.76129,3.33916
38,5.7653,3.33826
39,5.8205,3.33798
40,5.77507,3.33567
41,5.79011,3.33328
42,5.7407,3.33054
43,5.73295,3.32755
44,5.69353,3.32613
45,5.74739,3.32378
46,5.78081,3.32154
47,5.73964,3.3192
48,5.83971,3.31695
49,5.79369,3.31448
50,5.83254,
51,5.83654,
52,5.78566,
53,5.79108,
54,5.83825,
55,5.7757,
56,5.76814,
57,5.77169,
58,5.81218,
59,5.72715,
60,5.75111,
61,5.74823,
62,5.77485,
63,5.71552,
64,5.77068,
65,5.7321,
66,5.75495,
67,5.7266,
68,5.72166,
69,5.78435,
70,5.68971,
71,5.7231,
72,5.71983,
73,5.74262,
74,5.74658,
75,5.74362,
76,5.74288,
77,5.70773,
78,5.6765,
79,5.64883,
80,5.70586,
81,5.66265,
82,5.59857,
83,5.59175,
84,5.62292,
85,5.74218,
86,5.72759,
87,5.84382,
88,5.68197,
89,5.75342,
90,5.7078,
91,5.65694,
92,5.66376,
93,5.63991,
94,5.61194,
95,5.58239,
96,5.58869,
97,5.47597,
98,5.49698,
99,5.50665,
100,5.50839,
101,5.46353,
102,5.58496,
103,5.55045,
104,5.31707,
105,5.32613,
106,5.45853,
107,5.37897,
108,5.30415,
109,5.31104,
110,5.3,
111,5.39219,
112,5.48978,
113,5.48882,
114,5.50727,
115,5.53692,
116,5.4535,
117,5.43071,
118,5.39915,
119,5.40411,
120,5.38927,
121,5.30049,
122,5.24727,
123,5.30383,
124,5.25684,
125,5.25912,
126,5.17393,
127,5.17847,
128,5.24053,
129,5.13814,
130,5.16538,
131,5.04001,
132,5.11906,
133,5.19983,
134,5.02169,
135,5.11078,
136,5.12953,
137,5.16188,
138,5.13551,
139,5.14268,
140,4.97818,
141,4.98643,
142,5.03799,
143,5.02658,
144,5.14994,
145,5.13522,
146,5.0396,
147,5.0603,
148,4.99221,
149,5.13609,
150,5.21286,
151,5.0975,
152,5.23997,
153,5.19989,
154,5.169,
155,5.12115,
156,5.07535,
157,5.05734,
158,5.10601,
159,5.02831,
160,5.0807,
161,5.10283,
162,5.09705,
163,5.12164,
164,5.08458,
165,5.04698,
166,5.03022,
167,5.04492,
168,4.97938,
169,5.02712,
170,5.06603,
171,4.91793,
172,5.01566,
173,4.93046,
174,5.00058,
175,4.93435,
176,5.0011,
177,4.9985,
178,5.04065,
179,5.04317,
180,5.01747,
181,4.88595,
182,4.99761,
183,4.81905,
184,4.96138,
185,5.0565,
186,5.07042,
187,5.06039,
188,5.03865,
189,4.95601,
190,5.01991,
191,4.99196,
192,4.91698,
193,4.91163,
194,5.0794,
195,4.94249,
196,5.05125,
197,4.82108,
198,4.93062,
199,4.92147,
200,4.99748,
201,4.96707,
202,4.85829,
203,4.91837,
204,4.77063,
205,4.92217,
206,4.69114,
207,4.80082,
208,4.80484,
209,4.83475,
210,4.893,
211,4.6453,
212,4.82993,
213,4.91909,
214,4.85627,
215,4.87493,
216,4.85202,
217,4.93684,
218,4.72383,
219,4.78047,
220,4.85209,
221,4.71579,
222,4.6627,
223,4.7206,
224,5.10909,
225,5.03699,
226,5.04831,
227,5.01262,
228,4.93167,
229,4.87659,
230,4.85809,
231,4.83705,
232,4.90476,
233,4.86182,
234,4.82693,
235,4.82387,
236,4.75422,
237,4.83894,
238,4.74878,
239,4.76547,
240,4.88895,
241,4.87272,
242,4.8176,
243,4.9645,
244,4.90903,
245,4.70569,
246,4.69495,
247,4.85117,
248,4.77634,
249,4.81956,
250,4.90505,
251,4.85532,
252,4.7917,
253,4.7304,
254,4.79299,
255,4.79328,
256,4.83097,
257,4.80168,
258,4.86018,
259,4.79579,
260,4.73634,
261,4.76402,
262,4.83286,
263,4.79429,
264,4.65683,
265,4.7686,
266,4.74397,
267,4.71127,
268,4.74505,
269,4.68756,
270,4.60178,
271,4.81704,
272,4.79219,
273,4.52842,
274,4.53986,
275,4.73599,
276,4.87884,
277,4.87235,
278,4.83951,
279,4.74862,
280,4.72025,
281,4.80623,
282,4.78,
283,4.78769,
284,4.73088,
285,4.59197,
286,4.74544,
287,4.52631,
288,4.62061,
289,4.56066,
290,4.71984,
291,4.81558,
292,4.7998,
293,4.84396,
294,4.86549,
295,4.78153,
296,4.7642,
297,4.75112,
298,4.75795,
299,4.80398,
300,4.74518,
301,4.72651,
302,4.8051,
303,4.78919,
304,5.1822,
305,4.70966,
306,4.72966,
307,4.78864,
308,4.77188,
309,4.61947,
310,4.69539,
311,4.69631,
312,4.67315,
313,4.67732,
314,4.8236,
315,4.71096,
316,4.65642,
317,4.566,
318,4.6375,
319,4.62824,
320,4.69266,
321,4.74985,
322,4.75037,
323,4.57425,
324,4.76019,
325,4.76343,
326,4.83897,
327,4.86826,
328,4.85742,
329,4.69844,
330,4.74228,
331,4.80529,
332,4.75492,
333,4.75865,
334,4.74139,
335,4.6775,
336,4.67765,
337,4.60006,
338,4.58281,
339,4.69374,
340,4.63902,
341,4.54201,
342,4.56384,
343,4.65889,
344,4.68612,
345,4.62681,
346,4.5761,
347,4.66242,
348,4.57156,
349,4.605,
350,4.6864,
351,4.69062,
352,4.60561,
353,4.60482,
354,4.74473,
355,4.58729,
356,4.62992,
357,4.65402,
358,4.63825,
359,4.60779,
360,4.62466,
361,4.63141,
362,4.49419,
363,4.54998,
364,4.54271,
365,4.52299,
366,4.5088,
367,4.57814,
368,4.52203,
369,4.57657,
370,4.56573,
371,4.42318,
372,4.5988,
373,4.50175,
374,4.523,
375,4.46273,
376,4.56854,
377,4.64741,
378,4.74219,
379,4.64067,
380,4.52529,
381,4.66782,
382,4.56872,
383,4.6083,
384,4.57188,
385,4.51332,
386,4.51719,
387,4.62594,
388,4.41359,
389,4.37507,
390,4.25709,
391,4.45017,
392,4.47453,
393,4.58889,
394,4.52225,
395,4.56976,
396,4.50391,
397,4.43907,
398,4.35997,
399,4.47576,
400,4.51616,
401,4.37871,
402,4.47739,
403,4.33584,
404,4.32364,
405,4.5456,
406,4.41639,
407,4.51325,
408,4.40549,
409,4.44216,
410,4.37332,
411,4.33095,
412,4.33132,
413,4.37049,
414,4.30747,
415,4.23669,
416,4.28777,
417,4.48388,
418,4.30199,
419,4.45095,
420,4.49989,
421,4.75936,
422,4.73092,
423,4.75662,
424,4.72507,
425,4.71745,
426,4.70697,
427,4.67127,
428,4.57948,
429,4.58005,
430,4.50116,
431,4.54886,
432,4.55182,
433,4.55135,
434,4.54902,
435,4.60469,
436,4.47586,
437,4.42397,
438,4.43316,
439,4.53242,
440,4.42506,
441,4.50122,
442,4.47761,
443,4.40619,
444,4.59181,
445,4.45856,
446,4.47359,
447,4.51811,
448,4.50575,
449,4.39358,
450,4.61733,
451,4.5418,
452,4.68737,
453,4.67472,
454,4.68218,
455,4.62925,
456,4.54812,
457,4.59953,
458,4.57412,
459,4.55979,
460,4.51798,
461,4.54178,
462,4.54439,
463,4.42242,
464,4.42608,
465,4.407,
466,4.47313,
467,4.3179,
468,4.3592,
469,4.3847,
470,4.38249,
471,4.32021,
472,4.3304,
473,4.35201,
474,4.3451,
475,4.38252,
476,4.40666,
477,4.38865,
478,4.80363,
479,4.62465,
480,4.65309,
481,4.57892,
482,4.66983,
483,4.65727,
484,4.57385,
485,4.59152,
486,4.61134,
487,4.51807,
488,4.57001,
489,4.46795,
490,4.47267,
491,4.37197,
492,4.40802,
493,4.51306,
494,4.60014,
495,4.54576,
496,4.36363,
497,4.44644,
498,4.46438,
499,4.38352,
500,4.48464,
501,4.45919,
502,4.39898,
503,4.40969,
504,4.488,
505,4.59963,
506,4.48486,
507,4.59215,
508,4.52008,
509,4.61025,
510,4.53493,
511,4.73349,
512,4.61043,
513,4.49246,
514,4.37303,
515,4.38273,
516,4.57041,
517,4.50992,
518,4.39173,
519,4.433,
520,4.40917,
521,4.41433,
522,4.42037,
523,4.45078,
524,4.36729,
525,4.35332,
526,4.28931,
527,4.27871,
528,4.34775,
529,4.32659,
530,4.20136,
531,4.31675,
532,4.26289,
533,4.35214,
534,4.26173,
535,4.3001,
536,4.39716,
537,4.31909,
538,4.28832,
539,4.65802,
540,4.5854,
541,4.58936,
542,4.62883,
543,4.5116,
544,4.51943,
545,4.51757,
546,4.48547,
547,4.47849,
548,4.40967,
549,4.51968,
550,4.55605,
551,4.65061,
552,4.45195,
553,4.47344,
554,4.4644,
555,4.43788,
556,4.56615,
557,4.48845,
558,4.50407,
559,4.44449,
560,4.33245,
561,4.37123,
562,4.3643,
563,4.33582,
564,4.36165,
565,4.32838,
566,4.37298,
567,4.62783,
568,4.69278,
569,4.6149,
570,4.51837,
571,4.47971,
572,4.46934,
573,4.50501,
574,4.4991,
575,4.43808,
576,4.51906,
577,4.45656,
578,4.46385,
579,4.36574,
580,4.35914,
581,4.41067,
582,4.41123,
583,4.35543,
584,4.35792,
585,4.30223,
586,4.57,
587,4.6957,
588,4.72713,
589,4.56512,
590,4.50283,
591,4.5011,
592,4.4056,
593,4.61949,
594,4.37499,
595,4.40662,
596,4.45313,
597,4.26857,
598,4.18472,
599,4.32774,
600,4.44755,
601,4.37085,
602,4.16344,
603,4.34086,
604,4.33735,
605,4.29192,
606,4.31106,
607,4.32905,
608,4.14739,
609,4.45252,
610,4.39623,
611,4.39358,
612,4.45068,
613,4.48328,
614,4.54901,
615,4.57577,
616,4.51577,
617,4.36349,
618,4.39245,
619,4.31793,
620,4.3882,
621,4.35102,
622,4.34297,
623,4.41417,
624,4.36319,
625,4.29377,
626,4.3704,
627,4.2675,
628,4.27167,
629,4.3196,
630,4.19379,
631,4.17952,
632,4.24492,
633,4.21632,
634,4.22003,
635,4.07701,
636,4.19352,
637,4.23237,
638,4.53735,
639,4.51237,
640,4.38724,
641,4.45235,
642,4.44576,
643,4.32341,
644,4.35313,
645,4.16784,
646,4.34733,
647,4.38603,
648,4.21591,
649,4.40409,
650,4.20061,
651,4.14404,
652,4.36675,
653,4.21152,
654,4.1449,
655,4.203,
656,4.35741,
657,3.94175,
658,4.16456,
659,4.2919,
660,4.03832,
661,4.17564,
662,4.14266,
663,4.13111,
664,3.96149,
665,4.51054,
666,4.39872,
667,4.40367,
668,4.38039,
669,4.42674,
670,4.37517,
671,4.42077,
672,4.38209,
673,4.33388,
674,4.38584,
675,4.38606,
676,4.37353,
677,4.2922,
678,4.22706,
679,4.27883,
680,4.17145,
681,4.22135,
682,4.21279,
683,4.32859,
684,4.18339,
685,4.03405,
686,4.20717,
687,4.07338,
688,4.0278,
689,3.91273,
690,4.05313,
691,4.1698,
692,4.13562,
693,4.03582,
694,3.95901,
695,3.80569,
696,3.83232,
697,4.04596,
698,4.05575,
699,4.7113,
700,4.45518,
701,4.39971,
702,4.32901,
703,4.39909,
704,4.42577,
705,4.35625,
706,4.38617,
707,4.2947,
708,4.28865,
709,4.16566,
710,4.38431,
711,4.24936,
712,4.21221,
713,4.35155,
714,4.35626,
715,4.33343,
716,4.27499,
717,4.36348,
718,4.38699,
719,4.35061,
720,4.1921,
721,4.21068,
722,4.14514,
723,4.4743,
724,4.44421,
725,4.37098,
726,4.35605,
727,4.42516,
728,4.30402,
729,4.32139,
730,4.3887,
731,4.29725,
732,4.24173,
733,4.29464,
734,4.28564,
735,4.2105,
736,4.22395,
737,4.24766,
738,4.24194,
739,4.17725,
740,4.13236,
741,4.10226,
742,4.2264,
743,4.27118,
744,4.13355,
745,4.00295,
746,4.12889,
747,4.03463,
748,4.05137,
749,4.14986,
750,4.17818,
751,4.19547,
752,4.31716,
753,4.19807,
754,4.24864,
755,4.13301,
756,4.19374,
757,4.14964,
758,4.11853,
759,4.05512,
760,4.18182,
761,4.12729,
762,4.04724,
763,4.11935,
764,4.04143,
765,4.14261,
766,4.09037,
767,4.02459,
768,4.11791,
769,3.97063,
770,4.16711,
771,3.96539,
772,4.01867,
773,4.10773,
774,4.07211,
775,4.11269,
776,3.94969,
777,4.01204,
778,4.02031,
779,4.07879,
780,4.09969,
781,3.7969,
782,3.8972,
783,3.7827,
784,3.79932,
785,4.09968,
786,4.08757,
787,4.10258,
788,3.92344,
789,4.09493,
790,4.04082,
791,4.3556,
792,4.30538,
793,4.33853,
794,4.34262,
795,4.22545,
796,4.38758,
797,4.19622,
798,4.20102,
799,4.24697,
800,4.14401,
801,4.17709,
802,4.33477,
803,4.21443,
804,4.08436,
805,4.19346,
806,4.07155,
807,4.13036,
808,4.11921,
809,4.09219,
810,4.06513,
811,4.06206,
812,3.9833,
813,4.03906,
814,4.06982,
815,3.98348,
816,3.97857,
817,4.06599,
818,4.19144,
819,4.07985,
820,4.08209,
821,3.9992,
822,4.28097,
823,4.3082,
824,4.2911,
825,4.26219,
826,4.28417,
827,4.25112,
828,4.12685,
829,4.29132,
830,4.21142,
831,4.18679,
832,4.12612,
833,4.17299,
834,3.97564,
835,4.18814,
836,4.09612,
837,4.11235,
838,4.15279,
839,4.04963,
840,4.01993,
841,4.07277,
842,4.05419,
843,4.60324,
844,4.29138,
845,4.30739,
846,4.20519,
847,4.16126,
848,4.1271,
849,3.99885,
850,4.10233,
851,4.10919,
852,3.72987,
853,3.97444,
854,4.00097,
855,3.88465,
856,3.84153,
857,3.70971,
858,3.78137,
859,3.98796,
860,4.12735,
861,4.03991,
862,3.75776,
863,3.82425,
864,4.30746,
865,4.40991,
866,4.39312,
867,4.4147,
868,4.29474,
869,4.30567,
870,4.23664,
871,4.23916,
872,4.24857,
873,4.21917,
874,4.18032,
875,4.20072,
876,4.25157,
877,4.24103,
878,4.1112,
879,4.06,
880,4.00344,
881,4.0328,
882,4.01718,
883,4.08783,
884,4.03746,
885,3.91619,
886,3.91248,
887,4.04808,
888,3.95581,
889,3.94232,
890,4.36934,
891,4.34432,
892,4.2945,
893,4.27429,
894,4.39808,
895,4.32148,
896,4.1274,
897,4.15815,
898,3.97973,
899,4.02299,
900,3.94603,
901,4.06855,
902,4.17204,
903,4.04438,
904,3.87666,
905,3.81502,
906,3.73154,
907,3.68387,
908,3.77524,
909,3.70927,
910,3.86547,
911,3.73938,
912,3.63592,
913,3.66258,
914,3.90542,
915,3.81029,
916,4.00053,
917,3.65132,
918,4.12513,
919,3.83056,
920,4.15754,
921,4.45178,
922,4.22501,
923,4.27497,
924,4.23533,
925,4.27732,
926,4.22439,
927,4.28494,
928,4.1983,
929,4.04565,
930,4.08306,
931,4.05121,
932,4.11409,
933,3.98943,
934,3.99014,
935,3.92795,
936,4.04567,
937,3.78114,
938,4.01355,
939,3.98986,
940,3.72079,
941,3.75141,
942,3.89723,
943,3.69388,
944,3.76901,
945,3.73205,
946,3.62565,
947,3.55752,
948,3.67103,
949,4.2722,
950,4.26567,
951,4.41013,
952,4.31491,
953,4.31586,
954,4.22599,
955,4.107,
956,4.14384,
957,4.11553,
958,4.17493,
959,4.26761,
960,4.17288,
961,4.12576,
962,4.03656,
963,3.9578,
964,4.23423,
965,4.14214,
966,4.20057,
967,3.98941,
968,4.1993,
969,3.94924,
970,3.99264,
971,4.06321,
972,4.16698,
973,4.083,
974,4.0699,
975,3.99727,
976,3.96155,
977,4.00322,
978,3.8393,
979,3.89637,
980,3.98494,
981,3.99899,
982,3.96507,
983,3.955,
984,3.89751,
985,3.83393,
986,3.88642,
987,3.86673,
988,3.81769,
989,3.86642,
990,3.66184,
991,3.72017,
992,3.91287,
993,3.86609,
994,4.29748,
995,4.23591,
996,4.15893,
997,4.24446,
998,4.19988,
999,4.19948,
1000,4.11246,
1001,4.1103,
1002,3.95301,
1003,4.01127,
1004,4.0076,
1005,3.93321,
1006,4.09697,
1007,4.01393,
1008,3.88763,
1009,4.12076,
1010,4.06993,
1011,3.72274,
1012,3.8583,
1013,3.87224,
